Lot Area,Overall Qual,Overall Cond,Year Built,Gr Liv Area,Bedroom AbvGr,Garage Cars,SalePrice
16770.0,7.0,5.0,1998.0,1839.0,4.0,2.0,221000
14720.0,8.0,5.0,1995.0,3238.0,4.0,3.0,410000
8987.0,,5.0,2005.0,1595.0,2.0,3.0,221500
,7.0,5.0,2009.0,1218.0,2.0,2.0,204500
8640.0,7.0,5.0,2009.0,1547.0,3.0,2.0,215200
9000.0,8.0,5.0,2008.0,,3.0,,262500
12552.0,7.0,5.0,2004.0,1947.0,3.0,2.0,254900
10440.0,6.0,5.0,2005.0,1468.0,2.0,2.0,271500
10142.0,7.0,5.0,2004.0,2084.0,4.0,2.0,233000
11920.0,7.0,5.0,2004.0,1659.0,3.0,2.0,181000
8880.0,7.0,5.0,1994.0,2110.0,3.0,2.0,205000
8012.0,6.0,5.0,1980.0,923.0,,1.0,143000
11218.0,6.0,5.0,1992.0,1845.0,3.0,2.0,189000
7892.0,6.0,5.0,,918.0,2.0,1.0,99500
7175.0,6.0,5.0,1984.0,752.0,2.0,1.0,125000
9453.0,,7.0,1993.0,1744.0,,2.0,194500
9672.0,6.0,,1984.0,1097.0,3.0,2.0,152000
8400.0,6.0,6.0,1980.0,1564.0,3.0,2.0,171000
9800.0,5.0,5.0,1920.0,1012.0,2.0,1.0,67500
8930.0,6.0,5.0,1978.0,1902.0,4.0,2.0,112000
11782.0,5.0,7.0,1961.0,1155.0,3.0,2.0,148000
8450.0,5.0,8.0,1965.0,894.0,3.0,1.0,138500
9819.0,5.0,5.0,1967.0,900.0,3.0,1.0,122000
7500.0,5.0,5.0,1963.0,,3.0,1.0,133000
6897.0,5.0,8.0,1962.0,1040.0,3.0,1.0,127000
15410.0,6.0,6.0,1974.0,1494.0,3.0,2.0,169000
10186.0,7.0,5.0,1992.0,1923.0,3.0,2.0,190000
13143.0,8.0,5.0,1993.0,2349.0,4.0,3.0,362500
11134.0,8.0,5.0,1992.0,2225.0,4.0,3.0,285000
4835.0,7.0,,2004.0,1488.0,,2.0,260000
3515.0,7.0,5.0,2004.0,1680.0,2.0,2.0,190000
3215.0,7.0,5.0,2004.0,1200.0,2.0,2.0,155000
3182.0,7.0,5.0,2004.0,1200.0,2.0,2.0,151000
2544.0,7.0,5.0,2004.0,1200.0,,2.0,149500
2544.0,6.0,5.0,2005.0,1236.0,2.0,2.0,152000
4403.0,7.0,5.0,,,2.0,2.0,222000
2117.0,6.0,5.0,2000.0,1573.0,3.0,2.0,177500
2980.0,6.0,5.0,,1512.0,2.0,2.0,177000
2572.0,7.0,5.0,,1416.0,3.0,2.0,155000
2403.0,7.0,5.0,2003.0,1080.0,2.0,2.0,147110
12853.0,8.0,5.0,2010.0,1418.0,1.0,3.0,267916
7379.0,8.0,5.0,2000.0,1848.0,3.0,2.0,254000
4420.0,8.0,5.0,1980.0,788.0,1.0,2.0,155000
3880.0,8.0,6.0,1978.0,1226.0,,2.0,206000
13517.0,6.0,8.0,1976.0,1479.0,3.0,2.0,130500
8000.0,7.0,5.0,2002.0,1492.0,3.0,2.0,230000
10456.0,6.0,6.0,1967.0,1829.0,4.0,2.0,218500
10791.0,6.0,5.0,1993.0,2495.0,4.0,2.0,243500
10603.0,6.0,7.0,1977.0,1610.0,3.0,2.0,205000
18837.0,6.0,5.0,1978.0,1891.0,3.0,2.0,212500
10421.0,7.0,5.0,1988.0,1714.0,3.0,2.0,196500
9360.0,6.0,7.0,1972.0,1381.0,3.0,2.0,197500
9600.0,,6.0,1971.0,1645.0,4.0,2.0,171000
9600.0,5.0,5.0,1966.0,1232.0,3.0,2.0,142250
9790.0,6.0,5.0,1963.0,,3.0,2.0,143000
9320.0,4.0,,,1225.0,3.0,0.0,128950
9900.0,5.0,5.0,1966.0,1209.0,3.0,2.0,159000
9680.0,5.0,6.0,1967.0,1510.0,3.0,2.0,178900
10600.0,6.0,5.0,1964.0,1775.0,3.0,2.0,136300
14112.0,5.0,,1964.0,1152.0,3.0,2.0,180500
,6.0,7.0,1963.0,1054.0,3.0,2.0,137500
13260.0,5.0,6.0,1962.0,1728.0,6.0,0.0,84900
9717.0,5.0,6.0,1950.0,,2.0,1.0,142125
9724.0,5.0,7.0,1952.0,2461.0,3.0,2.0,197600
17360.0,6.0,6.0,1949.0,,3.0,2.0,172500
7207.0,5.0,7.0,,,2.0,0.0,116500
5350.0,3.0,2.0,1940.0,1306.0,3.0,0.0,76500
9920.0,5.0,5.0,1954.0,1063.0,3.0,1.0,128000
9600.0,6.0,6.0,1955.0,1520.0,3.0,1.0,153000
7800.0,,6.0,1954.0,1268.0,2.0,1.0,132000
11380.0,6.0,8.0,1966.0,1128.0,2.0,1.0,178000
11600.0,5.0,5.0,1960.0,2274.0,5.0,2.0,154300
19900.0,7.0,5.0,1970.0,2207.0,3.0,2.0,180000
16492.0,6.0,6.0,1966.0,1888.0,2.0,2.0,190000
8267.0,5.0,5.0,1958.0,1604.0,4.0,2.0,135000
8197.0,7.0,5.0,2003.0,1480.0,,2.0,214000
8050.0,5.0,5.0,1959.0,1143.0,,1.0,136000
10552.0,5.0,5.0,1959.0,1700.0,4.0,2.0,165500
8400.0,5.0,6.0,1957.0,1314.0,3.0,1.0,145000
8760.0,6.0,6.0,1959.0,1194.0,3.0,1.0,148000
12160.0,5.0,5.0,1959.0,1188.0,3.0,2.0,142000
9300.0,5.0,5.0,1960.0,1264.0,3.0,2.0,167500
10725.0,5.0,5.0,1959.0,1206.0,3.0,,108538
10032.0,6.0,5.0,1959.0,1580.0,3.0,,159500
8382.0,4.0,5.0,1956.0,1337.0,3.0,1.0,108000
10950.0,5.0,7.0,1952.0,1064.0,2.0,1.0,135000
10895.0,5.0,6.0,1955.0,,3.0,1.0,122500
13587.0,5.0,5.0,1958.0,988.0,2.0,1.0,119000
7922.0,5.0,7.0,,1057.0,3.0,1.0,109000
7898.0,4.0,7.0,1920.0,985.0,,2.0,105000
7200.0,5.0,7.0,1955.0,827.0,2.0,1.0,107500
10200.0,5.0,7.0,,1086.0,3.0,2.0,144900
5868.0,5.0,7.0,1956.0,936.0,,1.0,129000
17503.0,6.0,5.0,1948.0,1458.0,3.0,1.0,97500
6979.0,6.0,5.0,1980.0,1056.0,0.0,,144000
9830.0,5.0,,1959.0,1287.0,3.0,2.0,162000
11275.0,7.0,7.0,1967.0,2978.0,5.0,2.0,242000
8064.0,6.0,8.0,1948.0,1224.0,3.0,1.0,132000
7500.0,5.0,7.0,1959.0,1246.0,3.0,1.0,154000
8520.0,5.0,4.0,1952.0,1385.0,4.0,2.0,166000
7200.0,5.0,7.0,1951.0,900.0,3.0,2.0,134800
10000.0,6.0,6.0,1962.0,1116.0,3.0,2.0,160000
7635.0,5.0,6.0,1960.0,1175.0,3.0,2.0,148000
9760.0,6.0,7.0,1963.0,1395.0,2.0,2.0,192000
7700.0,6.0,5.0,1966.0,1839.0,4.0,2.0,155000
4800.0,4.0,,1900.0,1844.0,3.0,1.0,80400
8800.0,4.0,7.0,1910.0,1140.0,3.0,0.0,96500
4485.0,5.0,7.0,1920.0,936.0,2.0,0.0,109500
8960.0,5.0,6.0,1927.0,1028.0,2.0,2.0,115000
5805.0,5.0,7.0,1957.0,1347.0,3.0,2.0,143000
5790.0,3.0,6.0,1915.0,1605.0,3.0,1.0,107400
,4.0,6.0,1945.0,747.0,2.0,1.0,80000
7200.0,5.0,7.0,1940.0,804.0,2.0,1.0,119000
5500.0,5.0,7.0,1929.0,1316.0,3.0,2.0,130000
,6.0,7.0,1938.0,1251.0,3.0,1.0,119000
11851.0,5.0,7.0,1948.0,1633.0,3.0,1.0,129000
8239.0,5.0,6.0,1920.0,1245.0,3.0,1.0,100000
9656.0,2.0,2.0,1923.0,832.0,2.0,2.0,12789
8520.0,6.0,8.0,,720.0,2.0,,105900
9600.0,8.0,9.0,1900.0,1566.0,3.0,1.0,150000
10800.0,5.0,6.0,1915.0,1652.0,4.0,1.0,139000
9000.0,8.0,9.0,1890.0,2268.0,3.0,2.0,240000
9045.0,5.0,3.0,1910.0,2256.0,4.0,0.0,76500
7407.0,6.0,7.0,1957.0,1236.0,2.0,2.0,149700
7740.0,4.0,7.0,1910.0,1363.0,3.0,2.0,125500
11340.0,4.0,6.0,1885.0,2290.0,4.0,2.0,122500
10560.0,6.0,7.0,1922.0,1470.0,2.0,2.0,140750
5830.0,5.0,6.0,1950.0,,3.0,1.0,128500
7793.0,7.0,7.0,1922.0,2068.0,3.0,1.0,209500
5000.0,4.0,7.0,1925.0,765.0,2.0,1.0,87000
6000.0,6.0,7.0,1939.0,,2.0,1.0,134000
6000.0,6.0,6.0,1940.0,1196.0,3.0,2.0,128000
6360.0,5.0,6.0,1942.0,1453.0,3.0,1.0,132000
6000.0,6.0,7.0,1948.0,1416.0,3.0,,139900
6240.0,5.0,7.0,,1040.0,2.0,2.0,123900
6240.0,,5.0,1930.0,1536.0,4.0,2.0,138400
6120.0,6.0,5.0,1923.0,1068.0,,1.0,109500
10300.0,7.0,6.0,1921.0,1710.0,3.0,2.0,140000
8094.0,4.0,5.0,1915.0,1962.0,4.0,2.0,149500
12900.0,6.0,8.0,1912.0,1560.0,3.0,0.0,159900
3068.0,6.0,8.0,1920.0,1324.0,3.0,1.0,122000
8472.0,5.0,5.0,1963.0,816.0,2.0,2.0,110000
5600.0,4.0,5.0,1930.0,1092.0,3.0,0.0,55000
7630.0,5.0,9.0,1900.0,1812.0,4.0,2.0,140000
24090.0,7.0,7.0,1940.0,2403.0,4.0,1.0,244400
15263.0,5.0,5.0,1959.0,1675.0,3.0,1.0,173000
10632.0,5.0,3.0,1917.0,1224.0,3.0,1.0,107500
9900.0,5.0,4.0,1915.0,1392.0,3.0,0.0,100000
6001.0,6.0,5.0,1940.0,919.0,3.0,1.0,95000
6449.0,4.0,1.0,1907.0,1884.0,4.0,0.0,93369
6048.0,5.0,7.0,1910.0,1680.0,2.0,2.0,114900
6342.0,5.0,8.0,1875.0,1020.0,2.0,0.0,94000
10773.0,4.0,3.0,1967.0,1832.0,4.0,0.0,136000
10778.0,4.0,5.0,1968.0,1768.0,4.0,0.0,136500
11625.0,5.0,4.0,1965.0,1039.0,3.0,2.0,131500
11341.0,5.0,6.0,,1392.0,3.0,2.0,121500
8521.0,5.0,5.0,1967.0,912.0,3.0,,125000
8246.0,,8.0,1968.0,1060.0,3.0,1.0,154000
7800.0,5.0,7.0,1966.0,892.0,3.0,1.0,137900
9364.0,6.0,7.0,1969.0,1352.0,4.0,1.0,158000
7832.0,5.0,5.0,1968.0,864.0,2.0,1.0,137250
7424.0,5.0,5.0,1978.0,1373.0,3.0,2.0,160250
11227.0,5.0,5.0,1968.0,1440.0,4.0,2.0,163000
11616.0,6.0,5.0,1978.0,1386.0,3.0,2.0,158900
14000.0,7.0,5.0,1996.0,2260.0,3.0,2.0,328000
20062.0,7.0,7.0,1977.0,1483.0,1.0,2.0,270000
9259.0,4.0,4.0,1927.0,756.0,2.0,2.0,85000
9600.0,4.0,7.0,1950.0,1067.0,2.0,2.0,128000
23595.0,7.0,6.0,1979.0,1524.0,0.0,2.0,260000
17082.0,,5.0,1978.0,,4.0,2.0,230000
18600.0,3.0,4.0,1938.0,1610.0,4.0,1.0,124000
10625.0,5.0,5.0,1920.0,835.0,2.0,1.0,83000
11479.0,6.0,7.0,1950.0,1074.0,,1.0,144500
9571.0,5.0,6.0,1956.0,,3.0,1.0,129000
9350.0,4.0,,1947.0,1531.0,3.0,1.0,127000
9525.0,5.0,7.0,1954.0,1172.0,3.0,1.0,128000
10420.0,6.0,5.0,2009.0,1212.0,3.0,2.0,186000
17485.0,7.0,5.0,2009.0,,1.0,2.0,308030
11200.0,5.0,3.0,1964.0,1298.0,3.0,2.0,114000
11100.0,4.0,7.0,1946.0,930.0,2.0,1.0,84900
9206.0,6.0,5.0,1985.0,1732.0,3.0,2.0,178000
11980.0,7.0,5.0,,1433.0,1.0,2.0,270000
12361.0,6.0,7.0,1993.0,1802.0,3.0,4.0,218000
9938.0,7.0,5.0,1993.0,1949.0,3.0,2.0,236000
9069.0,6.0,,1992.0,996.0,2.0,2.0,147000
10475.0,8.0,5.0,,,3.0,3.0,245350
6762.0,7.0,5.0,2006.0,1208.0,2.0,2.0,206000
,7.0,5.0,2009.0,1226.0,3.0,3.0,198900
7360.0,7.0,5.0,2010.0,1222.0,2.0,2.0,187000
12376.0,7.0,5.0,1990.0,3222.0,5.0,3.0,320000
14235.0,6.0,8.0,1900.0,1445.0,3.0,2.0,138500
8816.0,6.0,7.0,1971.0,1052.0,,2.0,155000
11105.0,5.0,5.0,1996.0,965.0,2.0,2.0,159000
9337.0,7.0,5.0,1997.0,1692.0,3.0,2.0,191000
8750.0,6.0,5.0,1998.0,1682.0,3.0,2.0,200500
15240.0,5.0,8.0,1977.0,1026.0,3.0,1.0,150000
10900.0,6.0,7.0,1977.0,1392.0,,1.0,161750
10650.0,5.0,6.0,1976.0,894.0,3.0,1.0,128200
7480.0,5.0,6.0,1972.0,876.0,3.0,2.0,127000
10389.0,,5.0,2003.0,1978.0,3.0,3.0,318000
11423.0,8.0,5.0,2001.0,1601.0,3.0,2.0,272000
9548.0,7.0,6.0,2003.0,1829.0,3.0,2.0,237000
9375.0,7.0,5.0,1997.0,2098.0,4.0,2.0,240000
12137.0,7.0,5.0,1998.0,1661.0,3.0,2.0,224900
4435.0,6.0,5.0,2003.0,848.0,1.0,2.0,143750
4426.0,6.0,5.0,2004.0,848.0,1.0,2.0,143000
10635.0,8.0,5.0,2003.0,1668.0,3.0,2.0,232000
8400.0,7.0,5.0,2004.0,1484.0,3.0,2.0,213000
8773.0,7.0,5.0,2004.0,,3.0,2.0,185500
8777.0,3.0,6.0,1945.0,640.0,2.0,1.0,84900
8842.0,5.0,6.0,1954.0,992.0,3.0,1.0,155891
9825.0,5.0,5.0,1965.0,1664.0,4.0,0.0,100000
10044.0,5.0,6.0,1968.0,1196.0,3.0,1.0,144000
11792.0,4.0,5.0,1948.0,1120.0,2.0,2.0,64000
6305.0,6.0,6.0,1975.0,1096.0,3.0,1.0,125200
7819.0,6.0,5.0,1976.0,1117.0,3.0,2.0,107000
6410.0,4.0,5.0,1958.0,960.0,3.0,0.0,90000
8546.0,4.0,5.0,2003.0,1121.0,2.0,2.0,140000
8741.0,6.0,4.0,1945.0,1487.0,3.0,1.0,113000
12180.0,4.0,4.0,1941.0,924.0,2.0,1.0,80000
8562.0,5.0,6.0,1957.0,1526.0,4.0,1.0,144500
4853.0,5.0,6.0,1924.0,1296.0,2.0,1.0,104000
6858.0,6.0,4.0,1915.0,1647.0,,1.0,128000
8212.0,3.0,3.0,1914.0,864.0,2.0,,58500
5000.0,5.0,6.0,1924.0,1691.0,3.0,1.0,127000
,6.0,6.0,1939.0,856.0,2.0,2.0,126000
7200.0,4.0,6.0,1967.0,2650.0,,0.0,160000
9839.0,5.0,2.0,1931.0,,3.0,0.0,100000
9638.0,6.0,7.0,1919.0,2447.0,4.0,1.0,169000
10452.0,7.0,6.0,1941.0,2133.0,4.0,1.0,257500
15600.0,5.0,6.0,1950.0,2177.0,5.0,2.0,215000
9042.0,7.0,9.0,1941.0,2340.0,4.0,1.0,266500
,,8.0,1959.0,1902.0,3.0,2.0,335000
19645.0,7.0,6.0,1994.0,1652.0,3.0,2.0,203135
,8.0,6.0,1989.0,1034.0,1.0,2.0,185000
3907.0,8.0,5.0,1989.0,1191.0,2.0,2.0,162500
15602.0,7.0,8.0,,1801.0,1.0,2.0,289000
5436.0,4.0,8.0,1922.0,1154.0,3.0,1.0,125500
8154.0,2.0,,1941.0,540.0,1.0,1.0,82000
9140.0,6.0,5.0,1921.0,1107.0,2.0,1.0,110000
7500.0,4.0,4.0,,1128.0,2.0,2.0,68400
8712.0,4.0,7.0,1900.0,,2.0,1.0,102776
8712.0,5.0,5.0,1952.0,1044.0,2.0,2.0,55993
8712.0,4.0,,1896.0,952.0,3.0,1.0,50138
3811.0,8.0,5.0,2004.0,,2.0,2.0,246000
11050.0,8.0,5.0,1998.0,1916.0,3.0,3.0,254900
9620.0,6.0,7.0,1977.0,1285.0,3.0,2.0,190000
9196.0,7.0,5.0,2003.0,1560.0,3.0,2.0,201000
12328.0,6.0,5.0,1976.0,1034.0,3.0,3.0,169900
12760.0,6.0,5.0,1976.0,2048.0,5.0,2.0,170000
57200.0,5.0,5.0,1948.0,1687.0,3.0,2.0,160000
11896.0,7.0,5.0,2008.0,1346.0,3.0,3.0,220000
9803.0,7.0,5.0,2009.0,1214.0,2.0,2.0,179781
9802.0,5.0,5.0,2006.0,1444.0,3.0,2.0,174000
12003.0,8.0,,2009.0,1968.0,4.0,3.0,269500
11316.0,7.0,5.0,2002.0,1894.0,4.0,2.0,214900
14191.0,8.0,5.0,2002.0,1908.0,4.0,2.0,202900
13214.0,9.0,5.0,2008.0,2018.0,3.0,3.0,378500
15300.0,5.0,5.0,1965.0,,2.0,2.0,169000
10114.0,5.0,5.0,2004.0,1430.0,3.0,2.0,173500
9400.0,6.0,5.0,1971.0,1824.0,4.0,0.0,139000
11875.0,5.0,5.0,1999.0,1344.0,3.0,2.0,166500
1974.0,4.0,5.0,1973.0,1092.0,3.0,1.0,83500
2394.0,5.0,6.0,1973.0,945.0,2.0,1.0,119500
2592.0,5.0,3.0,1976.0,1112.0,3.0,1.0,85000
1476.0,4.0,7.0,1970.0,1092.0,3.0,0.0,76000
1491.0,4.0,6.0,1972.0,630.0,1.0,0.0,75500
1900.0,4.0,4.0,1970.0,1092.0,3.0,0.0,88250
1890.0,4.0,6.0,1972.0,1092.0,3.0,1.0,85500
6953.0,5.0,7.0,1971.0,874.0,3.0,1.0,130000
26142.0,5.0,7.0,1962.0,1188.0,3.0,1.0,157900
12887.0,5.0,7.0,1984.0,833.0,2.0,2.0,149900
7700.0,5.0,2.0,1985.0,2432.0,4.0,2.0,159000
10475.0,5.0,5.0,1991.0,1274.0,3.0,2.0,136000
10544.0,5.0,,1969.0,1479.0,5.0,1.0,161000
9892.0,8.0,5.0,1994.0,1803.0,3.0,2.0,285000
12961.0,6.0,5.0,1993.0,1797.0,3.0,2.0,231000
13008.0,6.0,5.0,1956.0,882.0,2.0,1.0,124500
10200.0,6.0,5.0,1974.0,1434.0,4.0,2.0,157000
13860.0,8.0,7.0,1972.0,2704.0,4.0,2.0,345000
10179.0,6.0,5.0,1997.0,1608.0,3.0,2.0,189500
11792.0,8.0,5.0,2003.0,2283.0,4.0,3.0,270000
8400.0,7.0,5.0,1996.0,1628.0,3.0,2.0,189000
14892.0,9.0,5.0,2006.0,1746.0,3.0,3.0,377500
8530.0,7.0,5.0,1995.0,1474.0,3.0,2.0,168500
7296.0,8.0,5.0,2004.0,2522.0,1.0,2.0,375000
5664.0,8.0,5.0,2000.0,1659.0,2.0,2.0,278000
7380.0,8.0,5.0,1998.0,1478.0,2.0,2.0,240000
8013.0,8.0,5.0,1995.0,1734.0,2.0,2.0,239500
8923.0,7.0,5.0,1998.0,1382.0,3.0,2.0,177500
,7.0,5.0,,1718.0,3.0,2.0,185000
7500.0,6.0,5.0,1998.0,1636.0,3.0,2.0,191000
7837.0,6.0,7.0,1993.0,1571.0,3.0,2.0,178000
9765.0,6.0,8.0,1993.0,1470.0,3.0,2.0,185000
8803.0,6.0,5.0,1994.0,1516.0,3.0,2.0,181316
7250.0,6.0,5.0,1993.0,1190.0,3.0,2.0,166000
9636.0,6.0,5.0,1992.0,1593.0,3.0,2.0,178000
8125.0,6.0,5.0,1994.0,1481.0,3.0,2.0,174000
9248.0,6.0,6.0,1992.0,1167.0,3.0,2.0,173000
10762.0,7.0,5.0,1999.0,1983.0,,2.0,225000
11851.0,7.0,5.0,1990.0,1442.0,3.0,2.0,180500
5814.0,8.0,5.0,1984.0,,1.0,2.0,187500
17423.0,9.0,5.0,2008.0,2234.0,1.0,3.0,501837
11844.0,8.0,5.0,2008.0,2046.0,3.0,3.0,372500
,7.0,5.0,,1530.0,3.0,2.0,260000
11900.0,5.0,6.0,1977.0,1934.0,,2.0,185000
13005.0,7.0,7.0,1980.0,2353.0,4.0,2.0,260000
17043.0,6.0,5.0,1979.0,1586.0,3.0,2.0,181000
11900.0,,5.0,1977.0,1411.0,3.0,2.0,82500
16635.0,6.0,7.0,1977.0,1602.0,3.0,2.0,215000
13250.0,7.0,6.0,1978.0,2050.0,4.0,2.0,154000
10928.0,6.0,6.0,1978.0,1671.0,3.0,2.0,200000
12388.0,7.0,7.0,1980.0,2673.0,4.0,2.0,249000
14115.0,7.0,5.0,1980.0,1472.0,3.0,,187500
11088.0,6.0,5.0,1978.0,1707.0,3.0,2.0,184000
9600.0,8.0,5.0,,2524.0,4.0,2.0,278000
11880.0,7.0,5.0,1978.0,1601.0,3.0,2.0,157000
10400.0,7.0,5.0,1976.0,1370.0,3.0,2.0,152000
10304.0,5.0,7.0,1976.0,1868.0,4.0,2.0,197500
7000.0,7.0,5.0,2003.0,1884.0,3.0,2.0,240900
8004.0,8.0,5.0,2009.0,1935.0,3.0,2.0,263435
7500.0,8.0,5.0,2000.0,1874.0,3.0,,220000
8470.0,8.0,5.0,2002.0,1811.0,3.0,2.0,235000
9373.0,5.0,7.0,1975.0,1621.0,3.0,2.0,213000
10140.0,6.0,6.0,1974.0,1116.0,3.0,2.0,167900
11050.0,7.0,5.0,1975.0,1193.0,3.0,2.0,158000
10140.0,6.0,5.0,1974.0,1350.0,3.0,2.0,165000
10448.0,6.0,6.0,,2119.0,3.0,2.0,158000
9000.0,5.0,5.0,1974.0,1792.0,4.0,0.0,136000
8750.0,5.0,6.0,1970.0,1002.0,3.0,2.0,148500
7930.0,6.0,8.0,1969.0,1026.0,3.0,2.0,156000
7830.0,5.0,5.0,1970.0,1180.0,2.0,2.0,128000
8510.0,5.0,7.0,,1050.0,3.0,1.0,143000
7038.0,4.0,6.0,1970.0,864.0,3.0,2.0,76500
6960.0,4.0,6.0,1970.0,864.0,3.0,2.0,120500
8120.0,4.0,7.0,1970.0,864.0,3.0,2.0,124500
10500.0,4.0,6.0,1971.0,864.0,2.0,2.0,97000
9000.0,4.0,7.0,1971.0,864.0,3.0,2.0,130000
,6.0,5.0,1973.0,987.0,2.0,1.0,111000
2368.0,5.0,6.0,,,3.0,2.0,125000
1680.0,5.0,5.0,1971.0,1302.0,3.0,1.0,112000
1680.0,6.0,6.0,1972.0,987.0,2.0,1.0,97000
1680.0,6.0,8.0,1972.0,987.0,2.0,1.0,118000
1680.0,5.0,7.0,1972.0,1302.0,3.0,1.0,119500
4928.0,,6.0,1976.0,958.0,2.0,2.0,143750
2308.0,6.0,5.0,1976.0,1548.0,3.0,2.0,146000
,6.0,6.0,1976.0,1456.0,3.0,2.0,148500
2280.0,7.0,5.0,1975.0,1055.0,2.0,2.0,123000
2308.0,6.0,5.0,1974.0,1322.0,3.0,2.0,147000
2349.0,6.0,5.0,1977.0,1456.0,3.0,2.0,137900
2364.0,6.0,5.0,1978.0,1548.0,3.0,2.0,147000
2289.0,6.0,6.0,1978.0,1441.0,3.0,2.0,148500
2364.0,6.0,5.0,1978.0,1456.0,,2.0,138000
2104.0,,6.0,1976.0,836.0,2.0,1.0,128500
7150.0,5.0,5.0,1967.0,892.0,3.0,1.0,100000
10710.0,5.0,7.0,1966.0,1120.0,3.0,2.0,148800
,10.0,5.0,2006.0,1718.0,3.0,3.0,337500
14257.0,9.0,5.0,2007.0,2772.0,4.0,3.0,462000
13518.0,9.0,5.0,2008.0,3140.0,4.0,3.0,485000
